Gene,RPKM,mRNA per cell cycle,Time to refire
ydzN,585.2400224,17.74670536,101.427277
sufLC,585.2400224,17.74670536,101.427277
cspC,4304.199792,110.7950788,16.24620894
sncZ,585.2400224,17.74670536,101.427277
cdnL,585.2400224,17.74670536,101.427277
ydzE,25.79407513,3.74936776,480.0809404
ydeC,20.5429,3.617983358,497.5147263
ydeD,15.1321,3.482605142,516.85446
ydeE,19.8934,3.601732868,499.7594397
ydeF,26.6322,3.770337644,477.4108236
ydeG,7.79614,3.299059423,545.6100571
ydeH,54.71422621,4.47294994,402.4189907
ydeI,26.84332667,3.775620033,476.7428884
ydeJ,21.199,3.63439898,495.2675834
ydeK,5.82003,3.249617151,553.9114045
ydeL,7.34194,3.287695339,547.4959856
ydeM,60.39047301,4.614969635,390.035069
ydeN,80.9726,5.129934452,350.8816763
ydzF,60.84133789,4.626250274,389.0840083
ydeO,102.241,5.66206982,317.9049459
ydeP,33.76302534,3.948750894,455.8403526
ydeQ,11.65387351,3.395579915,530.1009091
ydeR,6.4667,3.265796834,551.1671704
ydeS,61.8883,4.652445266,386.8933211
ydzO,58.10067134,4.557678797,394.9378796
aseR,37.9688,4.053979376,444.0081789
arsF,585.2400224,17.74670536,101.427277
ydzSn,585.2400224,17.74670536,101.427277
ydzSc,585.2400224,17.74670536,101.427277
ydfB,6.725867396,3.272281202,550.0749748
ydfC,1.92105,3.152064671,571.0542733
ydfD,14.6204,3.469802408,518.7615283
ydfE,20.8924,3.626727848,496.3151566
ydfF,55.2091,4.485331682,401.3081145
ydfG,70.4172,4.865838344,369.9259763
ydzP,4.022471105,3.204642227,561.6851656
ydzQ,5.9817,3.253662134,553.2227766
ydfH,34.0402,3.955685804,455.0411962
ydfI,41.36565828,4.13896877,434.8909354
ydfJ,2.91135,3.176841977,566.6004205
cesA,585.2400224,17.74670536,101.427277
ydfK,6.478896922,3.266102001,551.1156723
ydfL,21.6827886,3.646503371,493.6235667
mneP,585.2400224,17.74670536,101.427277
ydfN,1.72445,3.147145739,571.9468208
ydfO,3.17344,3.183399469,565.433279
ydfP,11.2819,3.386273138,531.5578297
